number,Family,Genus,species,sci_name,variant,sugar_concentration,type,europe,north_america,south_america,africa,asia,australia,reference,notes
1,Rosaceae,Malus,domestica,Malus sp.,,42.0,crop,yes,yes,yes,yes,yes,yes,"Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.",
2,Brassicacae,Raphanus,raphanistrum,Raphanus raphanistrum,,40.0,weed,yes,yes,yes,yes,yes,yes,"Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.",
3,Brassicacae,Brassica,sp,Brassica sp,,39.0,crop,yes,yes,yes,yes,yes,yes,"Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.",
4,Rosaceae,Rubus,idaeus,Rubus idaeus,,37.0,crop,yes,yes,yes,yes,yes,yes,"Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.",
5,Asteraceae,Taraxacum,sp.,Taraxacum sp.,,34.0,weed,yes,yes,yes,yes,yes,yes,"Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.",
6,Fabaceae,Onobrychis,viciiaefolia,Onobrychis viciiaefolia,,34.0,crop,yes,yes,,,yes,yes,"Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.",
7,Rosaceae,Prunus,cerasus,Prunus cerasus,,33.0,crop,yes,yes,yes,,yes,yes,"Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.",
8,Malvaceae,Tilia,platyphyllos,Tilia platyphyllos,,31.0,wild,yes,yes,yes,,yes,yes,"Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.",
9,Fabaceae,Trifolium,repens,Trifolium repens,,30.0,crop,yes,yes,yes,yes,yes,yes,"Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.",
10,Rosaceae,Rubus,fructicosus,Rubus fructicosus,,28.0,crop,yes,yes,yes,yes,yes,yes,"Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.",
11,Fabaceae,Lotus,corniculatus,Lotus corniculatus,,26.0,weed,yes,yes,yes,,yes,yes,"Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.",
12,Grossulariaceae,Ribes,nigrum,Ribes nigrum,,25.0,crop,yes,yes,,,yes,yes,"Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.",
13,Rosaceae,Prunus,sp.,Prunus sp.,,21.0,crop,,,,,,,"Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.",
14,Rosaceae,Pyrus,communis,Pyrus communis,,15.0,crop,yes,yes,yes,yes,yes,yes,"Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.",
15,Rosaceae,Crataegus,oxyacantha,Crataegus oxyacantha,,13.0,wild,yes,yes,,,,yes,"Butler, C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology, 21(1-2), 5-12.",
16,Alstroemeriaceae,Alstroemeria,aurea,Alstroemeria aurea,,40.0,wild,yes,yes,yes,,,yes,"Chalcoff, V. R., Aizen, M. A., & Galetto, L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany, 97(3), 413-421.",
17,Amaryllidaceae,Rhodophiala,mendocina,Rhodophiala mendocina,,12.0,wild,,,yes,,,,"Chalcoff, V. R., Aizen, M. A., & Galetto, L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany, 97(3), 413-421.",
18,Asteraceae,Mutisia,decurrens,Mutisia decurrens,,33.5,wild,,,yes,,,,"Chalcoff, V. R., Aizen, M. A., & Galetto, L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany, 97(3), 413-421.",
19,Asteraceae,Mutisia,spinosa,Mutisia spinosa,,45.8,wild,,,yes,,,,"Chalcoff, V. R., Aizen, M. A., & Galetto, L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany, 97(3), 413-421.",
20,Asteraceae,Perezia,prenanthoides,Perezia prenanthoides,,42.7,wild,,,yes,,,,"Chalcoff, V. R., Aizen, M. A., & Galetto, L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany, 97(3), 413-421.",
21,Berberidaceae,Berberis,darwinii,Berberis darwinii,,36.3,weed,yes,yes,,,,yes,"Chalcoff, V. R., Aizen, M. A., & Galetto, L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany, 97(3), 413-421.",
22,Fabaceae,Vicia,nigricans,Vicia nigricans,,29.5,wild,yes,yes,yes,,,,"Chalcoff, V. R., Aizen, M. A., & Galetto, L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany, 97(3), 413-421.",
23,Grossulariaceae,Ribes,magellanicum,Ribes magellanicum,,14.5,wild,,,yes,,,,"Chalcoff, V. R., Aizen, M. A., & Galetto, L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany, 97(3), 413-421.",
24,Verbenaceae,Diostea,juncea,Diostea juncea,,34.8,wild,,,yes,,,,"Chalcoff, V. R., Aizen, M. A., & Galetto, L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany, 97(3), 413-421.",
25,Fabaceae,Crotalaria,micans,Crotalaria micans,,59.4,wild,yes,yes,,yes,yes,yes,"Gottsberger, G., Schrauwen, J., & Linskens, H. F. (1984). Amino acids and sugars in nectar, and their putative evolutionary significance. Plant Systematics and Evolution, 145(1-2), 55-77.",
26,Malvaceae,Eriotheca,gracilipes,Eriotheca gracilipes,,44.8,wild,,,yes,,,,"Gottsberger, G., Schrauwen, J., & Linskens, H. F. (1984). Amino acids and sugars in nectar, and their putative evolutionary significance. Plant Systematics and Evolution, 145(1-2), 55-77.",
27,Bignoniaceae,Anemopaegma,laevis,Anemopaegma laevis,,31.3,wild,,,,,,,"Gottsberger, G., Schrauwen, J., & Linskens, H. F. (1984). Amino acids and sugars in nectar, and their putative evolutionary significance. Plant Systematics and Evolution, 145(1-2), 55-77.",
28,Costaceae ,Gossypium,barbadense,Gossypium barbadense,pima,52.9,crop,yes,yes,yes,yes,yes,yes,"Gottsberger, G., Schrauwen, J., & Linskens, H. F. (1984). Amino acids and sugars in nectar, and their putative evolutionary significance. Plant Systematics and Evolution, 145(1-2), 55-77.",
29,Bignoniaceae,Amphilophium ,elongata,Amphilophium  elongata,,40.6,wild,,yes,yes,,,,"Gottsberger, G., Schrauwen, J., & Linskens, H. F. (1984). Amino acids and sugars in nectar, and their putative evolutionary significance. Plant Systematics and Evolution, 145(1-2), 55-77.",
