Family,Average_Sugar_Concentration
Alstroemeriaceae,40.0
Amaryllidaceae,50.260000000000005
Apocynaceae,38.833333333333336
Araliaceae,14.5
Asclepiadaceae,32.3
Asparagaceae,47.5
Asteraceae,37.06857142857143
Berberidaceae,36.3
Bignoniaceae,42.63333333333333
Boraginaceae,36.54375
Brassicacae,43.741025641025644
Caprifoliaceae,37.13333333333333
Costaceae ,52.9
Cucurbitaceae,40.5
Ericaceae ,35.333333333333336
Fabaceae,43.18181818181818
Geraniaceae,64.0
Gesneriaceae,28.311111111111114
Grossulariaceae,26.0
Lamiaceae,44.550000000000004
Linaceae,37.5
Losacae,70.0
Lythraceae,62.0
Magnoliaceae ,26.5
Malvaceae,37.164
Nyctaginaceae,33.0
Oleaceae,39.5
Onagraceae,26.2
Passifloraceae,62.9
Polygonaceae,29.5
Ranunculaceae,49.93636363636363
Rhamnaceae,42.0
Rosaceae,32.62365384615385
Rutaceae,60.0
Salicaceae,65.25
Sapindaceae,53.6
Saxifragaceae,68.2
Scrophulariaceae,39.5
Solanaceae,14.7
Tiliaceae,60.6
Verbenaceae,34.8
Violaceae,32.0
Vitaceae,48.0
Zygophyllaceae,56.5
